uri,url,error
http://data.bibliotheken.nl/doc/nbt/p297893343,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C646377,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p297893343,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C646377,empty graph
http://data.bibliotheken.nl/doc/nbt/p297973711,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C639615,empty graph
http://data.bibliotheken.nl/doc/nbt/p297977806,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C639606,empty graph
http://data.bibliotheken.nl/doc/nbt/p298300664,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C643654,empty graph
http://data.bibliotheken.nl/doc/nbt/p29831794X,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C646729,empty graph
http://data.bibliotheken.nl/doc/nbt/p298335514,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C643657,empty graph
http://data.bibliotheken.nl/doc/nbt/p298446251,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C648177,empty graph
http://data.bibliotheken.nl/doc/nbt/p298770032,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C648182,empty graph
http://data.bibliotheken.nl/doc/nbt/p299012328,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C651656,empty graph
http://data.bibliotheken.nl/doc/nbt/p299095495,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C650998,empty graph
http://data.bibliotheken.nl/doc/nbt/p299326977,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C653080,empty graph
http://data.bibliotheken.nl/doc/nbt/p300327633,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C654327,empty graph
http://data.bibliotheken.nl/doc/nbt/p300354096,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C656237,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p300354096,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C656237,empty graph
http://data.bibliotheken.nl/doc/nbt/p300354266,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C656236,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p300354266,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C656236,empty graph
http://data.bibliotheken.nl/doc/nbt/p301026718,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C656509,empty graph
http://data.bibliotheken.nl/doc/nbt/p301104654,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C657474,empty graph
http://data.bibliotheken.nl/doc/nbt/p301108080,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C657468,empty graph
http://data.bibliotheken.nl/doc/nbt/p301113297,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C657475,empty graph
http://data.bibliotheken.nl/doc/nbt/p302380698,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C664927,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p302380698,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C664927,empty graph
http://data.bibliotheken.nl/doc/nbt/p302478345,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C664647,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p302478345,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C664647,empty graph
http://data.bibliotheken.nl/doc/nbt/p302498656,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C664645,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p302498656,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C664645,empty graph
http://data.bibliotheken.nl/doc/nbt/p302507205,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C354206,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p302507205,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C354206,empty graph
http://data.bibliotheken.nl/doc/nbt/p302509046,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C665762,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p302509046,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C665762,empty graph
http://data.bibliotheken.nl/doc/nbt/p30251189X,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C666851,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p30251189X,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C666851,empty graph
http://data.bibliotheken.nl/doc/nbt/p302512284,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C665955,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p302512284,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C665955,empty graph
http://data.bibliotheken.nl/doc/nbt/p302512454,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C666607,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p302512454,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C666607,empty graph
http://data.bibliotheken.nl/doc/nbt/p303043792,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C665247,empty graph
http://data.bibliotheken.nl/doc/nbt/p303127546,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C666144,empty graph
http://data.bibliotheken.nl/doc/nbt/p303137290,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C666100,empty graph
http://data.bibliotheken.nl/doc/nbt/p30313819X,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C666098,empty graph
http://data.bibliotheken.nl/doc/nbt/p303138793,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C749456,empty graph
http://data.bibliotheken.nl/doc/nbt/p303152117,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C666921,empty graph
http://data.bibliotheken.nl/doc/nbt/p30334539X,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C668933,empty graph
http://data.bibliotheken.nl/doc/nbt/p303355905,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C668930,empty graph
http://data.bibliotheken.nl/doc/nbt/p30336002X,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C727765,empty graph
http://data.bibliotheken.nl/doc/nbt/p303363142,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C727766,empty graph
http://data.bibliotheken.nl/doc/nbt/p303363193,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C727769,empty graph
